X,Y,Z,R,G,B
-0.0744936848679873,0.06674530816885677,0.2780142167703534,224,44,0
-0.11974649816891482,0.11088067569877505,0.4802769717135688,248,76,0
-0.10100059123938174,0.09016333463992242,0.39054030873783224,238,62,0
-0.08574308011302662,0.07387725123417638,0.31999753137926384,229,51,0
-0.11639391599417505,0.09689604984187003,0.41970290220349443,241,67,0
0.01302932320274133,0.055116462697214146,0.24861429698009643,220,38,0
0.011242554501497939,0.05708567340556755,0.2574968324677685,221,39,0
0.00783661503466383,0.049750785897857724,0.2244112930133372,217,34,0
-0.055154649940389655,0.050931167582567057,0.22973565071612254,218,36,0
-0.08361033277092964,0.0743436930699426,0.335342728524232,231,53,0
-0.08653352937024245,0.0741791075375571,0.33460033116372107,231,53,0
-0.08742866410386403,0.07233635607545774,0.32628821647349376,230,52,0
-0.08427191432315678,0.06736740045668593,0.3038747061095804,227,48,0
-0.07642543657081403,0.059087651342914715,0.2665271713739042,223,42,0
0.020243209558795557,0.07035059993173343,0.33097355065870654,229,51,0
0.019964993112146494,0.08097443447783643,0.38095476254242017,235,58,0
0.017407809231527818,0.08474723242268416,0.3987043813507293,237,61,0
0.013245101278951092,0.08062059421371989,0.3792900749819117,235,58,0
0.011727052985300565,0.09519092366070395,0.44783808560321353,243,69,0
0.005855363112895442,0.07130284852705018,0.3354535280719423,230,51,0
-0.08243219214346836,0.07298231380432606,0.34335479098323796,232,54,0
-0.08826497501117932,0.07524746274114638,0.35401147887385603,233,56,0
-0.1018819776988301,0.0837363125548502,0.39394837730224763,238,62,0
-0.09569570018069076,0.07591270872085784,0.357141215140216,234,57,0
-0.10952600350529211,0.08394666544018696,0.3949380098202186,238,63,0
-0.10487985310508807,0.07774458481862326,0.3657595145865971,235,58,0
-0.12806991580510801,0.09190027267457133,0.43235678989406906,243,69,0
0.018922904491303755,0.023006145605496395,0.1130788183307034,204,17,0
0.038630087230660574,0.04962217284672528,0.24390077176461217,219,38,0
0.01683759735909777,0.0435269835648251,0.21394195930997068,216,33,0
0.02440312481868969,0.07100097544124812,0.3489809436529643,231,53,0
0.018724590258294267,0.062285770858794796,0.30614434457229495,226,47,0
0.018103709651232605,0.07028043177998525,0.3454393584101143,231,53,0
0.014490119479824553,0.06752140312846289,0.3318782993346573,229,51,0
0.011764414375179213,0.06854079079125236,0.3368887497728042,230,51,0
0.00867018615840195,0.06736327020982447,0.3311010512077679,229,50,0
0.005848899124258406,0.06817344884257287,0.33508320641094486,230,51,0
0.002984420354491922,0.06957675974090614,0.3419806998396665,230,52,0
1.7160881636746198e-17,0.05701922924331845,0.2802584655215573,223,43,0
-0.06451000394049126,0.05466834587038605,0.2687035045818602,223,42,0
-0.08724000908794806,0.07118807453750454,0.34990056509143613,232,55,0
-0.09347970312760003,0.07353970379903851,0.36145919219073763,234,57,0
-0.09231883618132916,0.0700971677906413,0.3445385871243483,232,54,0
-0.09401258174031914,0.06897000766617822,0.3389984181134505,231,54,0
-0.08832396041543064,0.06266783611242545,0.30802225529000565,228,49,0
-0.10214111056540623,0.07015495297701575,0.3448226103894484,232,55,0
-0.07477708891776816,0.049761347509989715,0.24458483708930331,220,39,0
0.08335385028991013,0.09188807703774164,0.47272317574430345,246,73,0
0.04876658015921493,0.056645841599884714,0.2914175918907052,225,45,0
0.06357397385099575,0.07802236548583107,0.4013902736956359,238,62,0
0.058908056789292354,0.07661752805961865,0.39416301167282936,237,61,0
0.04863533128212989,0.06726693170461782,0.34605836364299253,231,53,0
0.02325930950886289,0.05744668006677066,0.2955375486416668,225,45,0
0.02560959421740886,0.0711887286509339,0.36623425987298297,233,56,0
0.02205310137752774,0.07008674011450665,0.36056502032235294,232,55,0
0.020241512544001614,0.07507571432226737,0.38623106761846066,235,59,0
0.01567137934891195,0.06976962382234937,0.3589335984280056,232,55,0
0.012915377083735073,0.07189117040390201,0.3698480094142003,233,56,0
0.010972193724530281,0.08144752142703957,0.4190111734483047,239,64,0
0.006595726281534614,0.07345027468330272,0.3778689055961077,234,58,0
0.0037776961679734477,0.08414356291001042,0.43288110448674494,241,66,0
2.115777995170775e-17,0.0671647663725437,0.3455327685735777,231,53,0
-0.06553870609308524,0.0530635613065991,0.2729883574215514,223,43,0
-0.09546579781471226,0.07442674340504883,0.3828924016800361,236,60,0
-0.08970963363262523,0.06742691670240243,0.3468814151058403,232,55,0
-0.10950150222490522,0.07943646204118711,0.4086651698084626,240,65,0
-0.10624302403962488,0.07446709026984762,0.3830999683053685,237,61,0
-0.1030883591938125,0.06988202120695472,0.3595118328443616,234,57,0
-0.11960399145450283,0.07848616362332667,0.4037763082664884,239,64,0
-0.11279100511952149,0.07171131905533357,0.36892275443664485,235,59,0
-0.11689167085744802,0.07206319820535688,0.3707330157310335,236,59,0
0.06885429436786022,0.06565165583995676,0.354224636606977,232,55,0
0.04622946549134374,0.046229465491343616,0.24943187501813907,220,38,0
0.05412471405313336,0.05689102580611771,0.30695650680154224,227,47,0
0.05647478621857902,0.06254822365875352,0.3374800149739602,230,52,0
0.04906697079268072,0.057417417302892085,0.3097966611628039,227,48,0
0.05057634644931016,0.06272137130178028,0.3384142360556039,230,52,0
0.043789643046360995,0.05774784700326835,0.31157950028608916,227,48,0
0.04145398765831856,0.05835850152478928,0.31487429724453103,227,48,0
0.03259338735584062,0.04919859010932155,0.26545183788713284,222,41,0
0.023452168438899846,0.05522882127226633,0.29798805369191594,225,45,0
0.026063590154441655,0.06908081138624597,0.37272670425039217,234,57,0
0.020048776216484897,0.06075313691380398,0.32779459361219226,229,50,0
0.018422531722817805,0.06515090853759613,0.3515228459370962,231,54,0
0.015911810352694823,0.06754503080887893,0.3644403737692225,233,55,0
0.011838709984464955,0.06283295682418041,0.33901629765811925,230,52,0
0.00957476399462029,0.067768384989586,0.3656454850871835,233,56,0
0.005782975361773571,0.06140401853682175,0.33130643658763337,229,50,0
0.0031318492320046264,0.06651343408043404,0.3588743759039267,232,55,0
2.1433691560235404e-17,0.06487584707520433,0.3500387470927679,231,53,0
-0.0030374647346017047,0.06450891962869493,0.3480589837533974,231,53,0
-0.004890646819304024,0.05192921448959704,0.2801849686275238,223,43,0
-0.07528790628827402,0.0581217126405883,0.3135966987531367,228,49,0
-0.09134242218069037,0.0678997829993052,0.3663544453052948,234,58,0
-0.08739651554855639,0.06263296736939175,0.33793725112012424,231,53,0
-0.08779735821248422,0.06072897018637751,0.32766420161931564,230,52,0
-0.08776299055263485,0.05865297247491686,0.31646312031328244,229,50,0
-0.09187638437429053,0.059384674269934476,0.32041102991478015,229,51,0
-0.09131785045167727,0.057137042963154416,0.30828389659751093,228,49,0
-0.09429209962848231,0.05716144551260871,0.30841556097218875,228,49,0
-0.09875393133390342,0.05804957063658398,0.31320745533154165,229,50,0
-0.09024121544322951,0.05147493635387405,0.27773390314431273,224,44,0
0.08136510707022943,0.07380821508288564,0.41858718833800285,240,65,0
0.05922409626504383,0.05634433955058044,0.3195446285315739,228,49,0
0.06515483730353992,0.06515483730353991,0.36951144425971555,234,57,0
0.06306558280466701,0.06645147857803613,0.3768650623463319,235,58,0
0.06146909172996472,0.06843260189844083,0.3881005710157638,236,60,0
0.05866223318158968,0.06921154334966251,0.39251816750662394,236,60,0
0.05235644205543729,0.06568804979579265,0.3725354425730216,234,57,0
0.049746220748884296,0.06662692365926938,0.37786006084587137,235,58,0
0.040326005744605216,0.05791088704223435,0.3284289608405584,229,50,0
0.020398521202516715,0.04570179986785584,0.2591877867143778,221,39,0
0.026104752143082763,0.06582556818479103,0.37331534811241124,234,57,0
0.02254540314149977,0.06499660830446478,0.3686140830139245,233,56,0
0.019637065933825654,0.06606928577118688,0.37469753922925914,234,57,0
0.014734151824645802,0.05950463575612351,0.3374675589466771,230,51,0
0.013541502201965738,0.06837570398023149,0.38777788688664905,235,59,0
0.010157029087654547,0.06839393707272114,0.387881291892601,235,59,0
0.006376475377386268,0.0644136619073119,0.3653080297099397,233,55,0
0.0033602382879523328,0.06789385217947731,0.38504516952928186,235,59,0
2.2673583255035677e-17,0.06529171480276583,0.37028771513259023,233,56,0
-0.0036782148011344717,0.07431859010950459,0.4214816689476538,239,64,0
-0.006307726316713594,0.06371917498647835,0.3613693986618541,232,55,0
-0.05379632018983205,0.03951096193867556,0.22407780011841796,217,35,0
-0.0848157747939467,0.05998247014103815,0.3401774924066317,231,53,0
-0.08482220220206244,0.0578322732716838,0.32798311999286345,230,51,0
-0.08895556378321845,0.05853820956428572,0.3319866836549051,230,52,0
-0.09369151918047638,0.059570431283276666,0.33784070392363297,231,53,0
